a, ab (prep. abl.)|de, desde, por
curro, -is, -ere, cucurri, cursum|correr
cursus, -us (m.)|carrera, curso, marcha
curulis, -e|curul; sella curulis: silla curul
custos, -todis (m.)|guardián, vigilante, centinela
D. = Decimus|Décimo
de (prep. abl.)|de, desde, acerca de, por
dea, -ae (f.)|diosa
debeo, -es, -ere, -bui, -bitum|deber
decem (adj. indecl.)|diez
December, -bris (m.)|diciembre
December, -bris, -e|de diciembre
decerno, -is, -ere, decrevi, decretum|determinar, decidir, decretar
deciens (adv.)|diez veces
decimus, -a, -um|décimo
Decimus, -i (m.)|Décimo (praenomen)
declaro, -as, -are, -avi, -atum|declarar, manifestar, proclamar
decretum, -i (n.)|decreto, decisión
decurio, -onis (m.)|decurión (jefe de una decuria de caballería)
decus, decoris (n.)|honor, gloria, adorno
dedecus, -oris (n.)|deshonra, vergüenza
deditio, -onis (f.)|rendición, entrega
dedo, -is, -ere, dedidi, deditum|entregar, rendir, dedicar
deduco, -is, -ere, -duxi, -ductum|llevar abajo, conducir, retirar
defendo, -is, -ere, -fendi, -fensum|defender, proteger
defero, defers, deferre, detuli, delatum|llevar, comunicar, denunciar
deficio, -is, -ere, -feci, -fectum|faltar, abandonar, desertar
deinde (adv.)|después, luego
delecto, -as, -are, -avi, -atum|deleitar, agradar
deleo, -es, -ere, delevi, deletum|destruir, borrar
delibero, -as, -are, -avi, -atum|deliberar, reflexionar
deligo, -is, -ere, -legi, -lectum|escoger, elegir
demitto, -is, -ere, -misi, -missum|enviar abajo, bajar
demonstro, -as, -are, -avi, -atum|mostrar, indicar, demostrar
demum (adv.)|finalmente, por fin, solamente
denique (adv.)|finalmente, en suma
densus, -a, -um|denso, espeso
depono, -is, -ere, deposui, depositum|dejar, depositar, abandonar
depopulor, -aris, -ari, -atus sum|devastar, saquear
deporto, -as, -are, -avi, -atum|transportar, llevar
deprecor, -aris, -ari, -atus sum|rogar, suplicar
derelinquo, -is, -ere, -liqui, -lictum|abandonar, dejar
descendo, -is, -ere, -scendi, -scensum|descender, bajar
describo, -is, -ere, -scripsi, -scriptum|describir, copiar
desero, -is, -ere, deserui, desertum|abandonar, desertar
desiderium, -ii (n.)|deseo, añoranza
desidero, -as, -are, -avi, -atum|desear, echar de menos
designo, -as, -are, -avi, -atum|designar, señalar
desino, -is, -ere, -sii, -situm|cesar, dejar de
desum, -es, -esse, defui|faltar
deterreo, -es, -ere, deterrui, deterritum|ahuyentar, disuadir
detrimentum, -i (n.)|daño, perjuicio, pérdida
deus, -i (m.)|dios
devinco, -is, -ere, -vici, -victum|vencer completamente
dexter, -tra, -trum|derecho, situado a la derecha
dico, -is, -ere, dixi, dictum|decir
dictator, -oris (m.)|dictador
dictatura, -ae (f.)|dictadura
dictum, -i (n.)|dicho, palabra
dies, diei (m. y f.)|día
differo, differs, differre, distuli, dilatum|diferir, aplazar
difficilis, -e|difícil
difficultas, -tatis (f.)|dificultad
dignitas, -tatis (f.)|dignidad, prestigio
dignus, -a, -um|digno
diligens, -ntis|diligente, cuidadoso
diligentia, -ae (f.)|diligencia, cuidado
diligo, -is, -ere, dilexi, dilectum|amar, apreciar, estimar
dimitto, -is, -ere, dimisi, dimissum|enviar, dejar marchar
diripio, -is, -ere, diripui, direptum|saquear
discedo, -is, -ere, discessi, discessum|marcharse, separarse
disciplina, -ae (f.)|disciplina, enseñanza
discipulus, -i (m.)|discípulo, alumno
disco, -is, -ere, didici|aprender
dispono, -is, -ere, disposui, dispositum|disponer, ordenar
disputo, -as, -are, -avi, -atum|discutir, debatir
dissentio, -is, -ire, dissensi, dissensum|disentir, estar en desacuerdo
dissimilis, -e|desemejante, diferente
dissuadeo, -es, -ere, dissuasi, dissuasum|disuadir
diu (adv.)|mucho tiempo
diutinus, -a, -um|duradero, prolongado
diversus, -a, -um|diverso, diferente, opuesto
dives, divitis|rico
divido, -is, -ere, divisi, divisum|dividir, repartir
divinus, -a, -um|divino
divitiae, -arum (f.)|riquezas
do, das, dare, dedi, datum|dar, entregar
doceo, -es, -ere, docui, doctum|enseñar, instruir
docte (adv.)|doctamente, sabiamente
doctus, -a, -um|docto, sabio, instruido
dolor, -oris (m.)|dolor, pena
dolosus, -a, -um|doloso, astuto, taimado
dolus, -i (m.)|trampa, engaño
dominus, -i (m.)|señor, dueño, amo
domus, -us (f.)|casa, patria; domi bellique o domi militiaeque: en paz y guerra
dormio, -is, -ire, -ivi, -itum|dormir
dubie (adv.)|dudosamente, inciertamente; haud dubie: sin duda
dubito, -as, -are, -avi, -atum|dudar
dubium, -ii (n.)|duda, incertidumbre
ducentesimus, -a, -um|ducentésimo
ducenti, -ae, -a|doscientos
duco, -is, -ere, duxi, ductum|conducir, llevar, guiar, considerar
dulcis, -e|dulce, grato, suave
dum (conj. temp.)|mientras, hasta que; (conj. condic.): con tal que
dummodo (conj. condic.)|con tal que
Dumnorix, -rigis (m.)|Dumnorige (personaje galo del pueblo eduo)
duo, -ae, -o|dos
duodecim (adj. indecl.)|doce
duodecimus, -a, -um|duodécimo
duodetricesimus, -a, -um|vigésimo octavo
duodetriginta (adj. indecl.)|veintiocho
duodevicesimus, -a, -um|decimoctavo
duodeviginti (adj. indecl.)|dieciocho
duplex, -plicis|doble, duplo
dux, ducis (m.)|jefe, general, guía
e = ex.|de, desde, entre
ea (adv.)|por allí, por ese lugar
eadem (adv.)|por allí mismo, por ese mismo sitio
educo, -is, -ere, eduxi, eductum|sacar
effero, -rs, -rre, extuli, elatum|sacar, elevar, ensalzar, divulgar
efficio, -is, -ere, -feci, -fectum|hacer, lograr, realizar, formar
ego, mei|yo
egredior, -deris, -di, egressus sum|salir
elephantus, -i (m.)|elefante
emitto, -is, -ere, -misi, -missum|enviar, lanzar, soltar, dejar marchar, emitir
enim (conj. coord. causal)|pues, porque, en efecto
eo, is, ire, i(v)i, itum|ir, marchar
eo (adv. de lugar adonde)|allí (a ese sitio)
eodem (adv. de lugar adonde)|allí mismo (a ese mismo sitio)
epistula, -ae (f.)|carta
eques, equitis (m.)|jinete, soldado de caballería, caballero
equester, -tris, -tre|ecuestre, de a caballo, de caballería
equitatus, -us (m.)|caballería
equus, -i (m.)|caballo
ergo (conj. ilat.)|así pues, por tanto, luego, por consiguiente
eripio, -is, -ere, eripui, ereptum|arrancar, quitar, sustraer
erro, -as, -are, -avi, -atum|errar, vagar, equivocarse
error, -oris (m.)|error
erumpo, -is, -ere, erupi, eruptum|salir, hacer una salida, romper hacia fuera
et (conj. cop.)|y; también; et... et...: no sólo... sino también
etenim (conj. coord. causal)|pues, porque, en efecto
etiam (adv.)|también, incluso
etiamsi (conj. conces.)|aunque
Etruria, -ae (f.)|Etruria
Etruscus, -a, -um|etrusco, de Etruria
etsi (conj. conces.)|aunque
Eumenes, -nis (m.)|Eumenes, rey de Pérgamo, en Asia Menor
ex (prep. abl.)|de, desde, fuera de, después de
excedo, -is, -ere, -cessi, -cessum|salir
exemplum, -i (n.)|ejemplo, modelo, precedente
exeo, -is, -ire, -ii, -itum|salir
exercitatio, -onis (f.)|ejercicio, práctica
exercitus, -us (m.)|ejército
existimo, -as, -are, -avi, -atum|considerar, pensar, creer
expeditus, -a, -um|expedito, libre, desembarazado, sin estorbos, sin impedimenta
expello, -is, -ere, -puli, -pulsum|expulsar, arrojar
explorator, -oris (m.)|explorador, batidor, espía
expono, -is, -ere, -posui, -positum|exponer, relatar
exposco, -is, -ere, -poposci, -poscitum|pedir, suplicar, reclamar
expugno, -as, -are, -avi, -atum|expugnar, asaltar, tomar por asalto
exspecto, -as, -are, -avi, -atum|esperar, aguardar
exstinguo, -is, -ere, -nxi, -nctum|extinguir, apagar
exsul, -sulis (m. y f.)|desterrado
externus, -a, -um|externo, exterior, extranjero, extraño
exterus, -a, -um|extranjero, extraño, de fuera
extra (prep. ac.)|fuera de
Fabius, -ii (m.)|Fabio (nomen)
fabula, -ae (f.)|fábula
facies, -ei (f.)|rostro, faz, cara, apariencia
facile (adv.)|fácilmente
facilis, -e|fácil
facio, -is, -ere, feci, factum|hacer, realizar, cumplir
factum, -i (n.)|hecho, acción, obra
facultas, -tatis (f.)|facultad, posibilidad
falso (adv.)|falsamente, sin razón
falsus, -a, -um|falso
fames, famis (f.)|hambre
familia, -ae (-as) (f.)|familia
familiaris, -e|familiar
fascis, -is (m.)|haz; fasces, -cium: los fasces (haces de varas con un hacha que llevaban los lictores como insignia del poder de los magistrados)
fatigo, -as, -are, -avi, -atum|fatigar, cansar
febris, -is (f.)|fiebre
Februarius, -ii (m.)|febrero
Februarius, -a, -um|de febrero
feliciter (adv.)|felizmente
felix, -icis|feliz
femina, -ae (f.)|hembra, mujer
fenestra, -ae (f.)|ventana
fera, -ae (f.)|fiera, bestia, animal salvaje
fere (adv.)|casi, aproximadamente, generalmente
fero, fers, ferre, tuli, latum|llevar, sobrellevar, soportar, proponer, referir, contar, obtener
fessus, -a, -um|cansado, fatigado
fidelis, -e|fiel, leal, digno de confianza
Fidenates, -tium (m.)|los fidenates (habitantes de Fidena, ciudad sabina)
fides, -ei (f.)|fidelidad, fe, buena fe, confianza
fido, -is, -ere, fisus sum|fiarse
filia, -ae (f.)|hija
filius, -ii (m.)|hijo
finis, -is (m.)|fin, final, término; finem facere: hacer el final, terminar; fines, -ium: límites, fronteras, territorio
finitimus, -a, -um|limítrofe, vecino
fio, fis, fieri, factus sum|suceder, hacerse, ser hecho
firmo, -as, -are, -avi, -atum|fortalecer, reforzar
firmus, -a, -um|fuerte, firme, sólido
Flaminius, -ii (m.)|Flaminio (nomen)
floreo, -es, -ere, -rui|florecer, estar floreciente, brillar
flumen, -minis (n.)|río, corriente
fluo, -is, -ere, fluxi, fluxum|fluir, correr, deslizarse
foederatus, -a, -um|federado, aliado, unido por un tratado
foedus, -deris (n.)|alianza, pacto, tratado, acuerdo
forte (adv.)|casualmente, por casualidad
fortis, -e|valeroso, valiente, esforzado, fuerte
fortiter (adv.)|valerosamente, esforzadamente
fortuna, -ae (f.)|fortuna
forum, -i (n.)|foro
fossa, -ae (f.)|foso, fosa, zanja
fragor, -oris (m.)|fragor, estruendo
frater, -tris (m.)|hermano
frons, -ntis (f.)|frente, parte anterior
fructus, -us (m.)|fruto, provecho, disfrute
frumentarius, -a, -um|relativo al trigo; res frumentaria: el abastecimiento de trigo
frumentum, -i (n.)|trigo
frustra (adv.)|inútilmente, en vano
fuga, -ae (f.)|huida, fuga
fugio, -is, -ere, fugi|huir
fugo, -as, -are, -avi, -atum|ahuyentar, espantar, poner en fuga, expulsar
fulgor, -oris (n.)|relámpago
fur, furis (m.)|ladrón
Furculae, -arum (f.)|ver Caudinus
furtum, -i (n.)|robo, hurto
galea, -ae (f.)|casco
Galli, -orum (m.)|los galos
Gallia, -ae (f.)|la Galia
Garumna, -ae (m.)|el Garona
gaudeo, -es, -ere, gavisus sum|alegrarse, gozar
gaudium, -ii (n.)|gozo, alegría, placer
gens, -ntis (f.)|pueblo, raza, familia
Genua, -ae (f.)|Ginebra
genus, -neris (n.)|género, clase, raza, familia
geographia, -ae (f.)|geografía
Germani, -orum (m.)|los germanos
gero, -is, -ere, gessi, gestum|hacer, llevar, realizar; gerere rem: realizar un asunto, hacer la guerra, combatir; haec geruntur: estas cosas son hechas, se hacen, ocurren, suceden
gladius, -ii (m.)|espada
gloriosus, -a, -um|glorioso, jactancioso, fanfarrón
gracilis, -e|esbelto, grácil, delgado
graculus, -i (m.)|grajo
gradus, -us (m.)|paso, grado, escalón
Graecus, -a, -um|griego
